date,number of users
2018-01-01,21
2018-01-02,126
2018-01-03,150
2018-01-04,70
2018-01-05,84
2018-01-06,16
2018-01-07,24
2018-01-08,135
2018-01-09,168
2018-01-10,202
2018-01-11,221
2018-01-12,121
2018-01-13,35
2018-01-14,23
2018-01-15,37
2018-01-16,184
2018-01-17,117
2018-01-18,167
2018-01-19,156
2018-01-20,61
2018-01-21,69
2018-01-22,213
2018-01-23,191
2018-01-24,206
2018-01-25,216
2018-01-26,140
2018-01-27,64
2018-01-28,42
2018-01-29,203
2018-01-30,154
2018-01-31,171
2018-02-01,190
2018-02-02,117
2018-02-03,36
2018-02-04,10
2018-02-05,166
2018-02-06,168
2018-02-07,89
2018-02-08,173
2018-02-09,145
2018-02-10,14
2018-02-11,33
2018-02-12,151
2018-02-13,181
2018-02-14,201
2018-02-15,231
2018-02-16,133
2018-02-17,31
2018-02-18,52
2018-02-19,59
2018-02-20,239
2018-02-21,244
2018-02-22,163
2018-02-23,126
2018-02-24,44
2018-02-25,64
2018-02-26,219
2018-02-27,225
2018-02-28,216
2018-03-01,202
2018-03-02,51
2018-03-03,41
2018-03-04,56
2018-03-05,190
2018-03-06,209
2018-03-07,155
2018-03-08,186
2018-03-09,142
2018-03-10,67
2018-03-11,75
2018-03-12,184
2018-03-13,188
2018-03-14,200
2018-03-15,184
2018-03-16,153
2018-03-17,51
2018-03-18,106
2018-03-19,222
2018-03-20,62
2018-03-21,19
2018-03-22,135
2018-03-23,186
2018-03-24,104
2018-03-25,68
2018-03-26,213
2018-03-27,193
2018-03-28,147
2018-03-29,242
2018-03-30,170
2018-03-31,136
2018-04-01,78
2018-04-02,180
2018-04-03,216
2018-04-04,230
2018-04-05,244
2018-04-06,241
2018-04-07,88
2018-04-08,77
2018-04-09,217
2018-04-10,231
2018-04-11,264
2018-04-12,275
2018-04-13,291
2018-04-14,152
2018-04-15,44
2018-04-16,164
2018-04-17,226
2018-04-18,251
2018-04-19,189
2018-04-20,190
2018-04-21,140
2018-04-22,130
2018-04-23,235
2018-04-24,196
2018-04-25,204
2018-04-26,259
2018-04-27,158
2018-04-28,115
2018-04-29,73
2018-04-30,239
2018-05-01,302
2018-05-02,287
2018-05-03,286
2018-05-04,249
2018-05-05,98
2018-05-06,93
2018-05-07,262
2018-05-08,291
2018-05-09,289
2018-05-10,296
2018-05-11,258
2018-05-12,116
2018-05-13,82
2018-05-14,229
2018-05-15,285
2018-05-16,164
2018-05-17,128
2018-05-18,89
2018-05-19,54
2018-05-20,112
2018-05-21,278
2018-05-22,200
2018-05-23,315
2018-05-24,288
2018-05-25,239
2018-05-26,104
2018-05-27,102
2018-05-28,115
2018-05-29,299
2018-05-30,290
2018-05-31,248
2018-06-01,252
2018-06-02,90
2018-06-03,24
2018-06-04,295
2018-06-05,350
2018-06-06,334
2018-06-07,350
2018-06-08,243
2018-06-09,119
2018-06-10,111
2018-06-11,252
2018-06-12,308
2018-06-13,318
2018-06-14,302
2018-06-15,260
2018-06-16,145
2018-06-17,107
2018-06-18,283
2018-06-19,304
2018-06-20,276
2018-06-21,334
2018-06-22,134
2018-06-23,87
2018-06-24,93
2018-06-25,288
2018-06-26,325
2018-06-27,283
2018-06-28,305
2018-06-29,248
2018-06-30,149
2018-07-01,97
2018-07-02,229
2018-07-03,266
2018-07-04,123
2018-07-05,244
2018-07-06,229
2018-07-07,134
2018-07-08,142
2018-07-09,268
2018-07-10,271
2018-07-11,315
2018-07-12,342
2018-07-13,263
2018-07-14,114
2018-07-15,109
2018-07-16,269
2018-07-17,276
2018-07-18,303
2018-07-19,282
2018-07-20,266
2018-07-21,21
2018-07-22,89
2018-07-23,203
2018-07-24,162
2018-07-25,202
2018-07-26,270
2018-07-27,260
2018-07-28,127
2018-07-29,119
2018-07-30,195
2018-07-31,234
2018-08-01,261
2018-08-02,210
2018-08-03,184
2018-08-04,108
2018-08-05,89
2018-08-06,221
2018-08-07,265
2018-08-08,282
2018-08-09,267
2018-08-10,220
2018-08-11,106
2018-08-12,72
2018-08-13,259
2018-08-14,290
2018-08-15,309
2018-08-16,285
2018-08-17,220
2018-08-18,92
2018-08-19,107
2018-08-20,285
2018-08-21,258
2018-08-22,299
2018-08-23,288
2018-08-24,236
2018-08-25,105
2018-08-26,129
2018-08-27,268
2018-08-28,267
2018-08-29,247
2018-08-30,220
2018-08-31,209
2018-09-01,80
2018-09-02,98
2018-09-03,118
2018-09-04,199
2018-09-05,277
2018-09-06,295
2018-09-07,190
2018-09-08,70
2018-09-09,40
2018-09-10,252
2018-09-11,234
2018-09-12,279
2018-09-13,263
2018-09-14,251
2018-09-15,118
2018-09-16,131
2018-09-17,145
2018-09-18,241
2018-09-19,285
2018-09-20,267
2018-09-21,276
2018-09-22,146
2018-09-23,39
2018-09-24,146
2018-09-25,240
2018-09-26,270
2018-09-27,180
2018-09-28,260
2018-09-29,155
2018-09-30,90
2018-10-01,263
2018-10-02,285
2018-10-03,312
2018-10-04,306
2018-10-05,278
2018-10-06,114
2018-10-07,136
2018-10-08,131
2018-10-09,299
2018-10-10,328
2018-10-11,157
2018-10-12,260
2018-10-13,134
2018-10-14,104
2018-10-15,191
2018-10-16,298
2018-10-17,298
2018-10-18,249
2018-10-19,230
2018-10-20,108
2018-10-21,80
2018-10-22,244
2018-10-23,238
2018-10-24,282
2018-10-25,267
2018-10-26,167
2018-10-27,43
2018-10-28,93
2018-10-29,220
2018-10-30,247
2018-10-31,239
2018-11-01,315
2018-11-02,223
2018-11-03,90
2018-11-04,58
2018-11-05,93
2018-11-06,145
2018-11-07,232
2018-11-08,233
2018-11-09,101
2018-11-10,73
2018-11-11,54
2018-11-12,84
2018-11-13,154
2018-11-14,200
2018-11-15,67
2018-11-16,172
2018-11-17,71
2018-11-18,44
2018-11-19,175
2018-11-20,225
2018-11-21,129
2018-11-22,14
2018-11-23,44
2018-11-24,18
2018-11-25,61
2018-11-26,162
2018-11-27,159
2018-11-28,171
2018-11-29,191
2018-11-30,162
2018-12-01,56
2018-12-02,78
2018-12-03,378
2018-12-04,228
2018-12-05,107
2018-12-06,187
2018-12-07,115
2018-12-08,44
2018-12-09,40
2018-12-10,137
2018-12-11,174
2018-12-12,201
2018-12-13,165
2018-12-14,160
2018-12-15,17
2018-12-16,41
2018-12-17,167
2018-12-18,218
2018-12-19,196
2018-12-20,130
2018-12-21,102
2018-12-22,36
2018-12-23,41
2018-12-24,36
2018-12-25,28
2018-12-26,61
2018-12-27,92
2018-12-28,30
2018-12-29,43
2018-12-30,45
2018-12-31,44
2019-01-01,41
2019-01-02,149
2019-01-03,175
2019-01-04,145
2019-01-05,50
2019-01-06,52
2019-01-07,172
2019-01-08,169
2019-01-09,167
2019-01-10,122
2019-01-11,92
2019-01-12,34
2019-01-13,5
2019-01-14,31
2019-01-15,109
2019-01-16,139
2019-01-17,125
2019-01-18,118
2019-01-19,29
2019-01-20,36
2019-01-21,18
2019-01-22,115
2019-01-23,162
2019-01-24,83
2019-01-25,125
2019-01-26,35
2019-01-27,44
2019-01-28,152
2019-01-29,121
2019-01-30,99
2019-01-31,106
2019-02-01,64
2019-02-02,27
2019-02-03,42
2019-02-04,201
2019-02-05,167
2019-02-06,193
2019-02-07,203
2019-02-08,166
2019-02-09,39
2019-02-10,41
2019-02-11,100
2019-02-12,77
2019-02-13,147
2019-02-14,164
2019-02-15,187
2019-02-16,45
2019-02-17,37
2019-02-18,56
2019-02-19,174
2019-02-20,19
2019-02-21,160
2019-02-22,157
2019-02-23,21
2019-02-24,54
2019-02-25,160
2019-02-26,206
2019-02-27,189
2019-02-28,208
2019-03-01,81
2019-03-02,55
2019-03-03,17
2019-03-04,170
2019-03-05,189
2019-03-06,144
2019-03-07,174
2019-03-08,94
2019-03-09,43
2019-03-10,40
2019-03-11,250
2019-03-12,231
2019-03-13,240
2019-03-14,233
2019-03-15,188
2019-03-16,75
2019-03-17,73
2019-03-18,192
2019-03-19,218
2019-03-20,229
2019-03-21,62
2019-03-22,125
2019-03-23,57
2019-03-24,86
2019-03-25,211
2019-03-26,218
2019-03-27,231
2019-03-28,250
2019-03-29,204
2019-03-30,168
2019-03-31,68
2019-05-01,286
2019-05-02,212
2019-05-03,214
2019-05-04,75
2019-05-05,43
2019-05-06,258
2019-05-07,255
2019-05-08,256
2019-05-09,239
2019-05-10,170
2019-05-11,63
2019-05-12,49
2019-05-13,160
2019-05-14,251
2019-05-15,248
2019-05-16,234
2019-05-17,203
2019-05-18,97
2019-05-19,127
2019-05-20,229
2019-05-21,273
2019-05-22,238
2019-05-23,247
2019-05-24,210
2019-05-25,82
2019-05-26,99
2019-05-27,85
2019-05-28,202
2019-05-29,246
2019-05-30,219
2019-05-31,243
2019-06-01,106
2019-06-02,71
2019-06-03,248
2019-06-04,295
2019-06-05,236
2019-06-06,228
2019-06-07,214
2019-06-08,110
2019-06-09,76
2019-06-10,168
2019-06-11,265
2019-06-12,246
2019-06-13,182
2019-06-14,225
2019-06-15,101
2019-06-16,78
2019-06-17,220
2019-06-18,217
2019-06-19,228
2019-06-20,230
2019-06-21,200
2019-06-22,114
2019-06-23,111
2019-06-24,243
2019-06-25,255
2019-06-26,250
2019-06-27,234
2019-06-28,200
2019-06-29,87
2019-06-30,78
2019-07-01,227
2019-07-02,207
2019-07-03,204
2019-07-04,72
2019-07-05,143
2019-07-06,95
2019-07-07,89
2019-07-08,175
2019-07-09,251
2019-07-10,218
2019-07-11,188
2019-07-12,215
2019-07-13,99
2019-07-14,79
2019-07-15,248
2019-07-16,259
2019-07-17,192
2019-07-18,216
2019-07-19,176
2019-07-20,103
2019-07-21,76
2019-07-22,205
2019-07-23,194
2019-07-24,220
2019-07-25,231
2019-07-26,182
2019-07-27,106
2019-07-28,106
2019-07-29,240
2019-07-30,239
2019-07-31,215
2019-08-01,253
2019-08-02,176
2019-08-03,86
2019-08-04,87
2019-08-05,212
2019-08-06,227
2019-08-07,209
2019-08-08,230
2019-08-09,179
2019-08-10,103
2019-08-11,68
2019-08-12,263
2019-08-13,228
2019-08-14,217
2019-08-15,206
2019-08-16,172
2019-08-17,87
2019-08-18,81
2019-08-19,213
2019-08-20,215
2019-08-21,215
2019-08-22,250
2019-08-23,163
2019-08-24,81
2019-08-25,109
2019-08-26,245
2019-08-27,227
2019-08-28,275
2019-08-29,248
2019-08-30,161
2019-08-31,75
2019-09-01,84
2019-09-02,70
2019-09-03,248
2019-09-04,249
2019-09-05,282
2019-09-06,262
2019-09-07,89
2019-09-08,104
2019-09-09,242
2019-09-10,266
2019-09-11,247
2019-09-12,228
2019-09-13,217
2019-09-14,92
2019-09-15,106
2019-09-16,256
2019-09-17,171
2019-09-18,276
2019-09-19,263
2019-09-20,221
2019-09-21,136
2019-09-22,100
2019-09-23,246
2019-09-24,250
2019-09-25,299
2019-09-26,267
2019-09-27,236
2019-09-28,96
2019-09-29,100
2019-09-30,236
2019-10-01,275
2019-10-02,248
2019-10-03,275
2019-10-04,190
2019-10-05,91
2019-10-06,71
2019-10-07,262
2019-10-08,242
2019-10-09,269
2019-10-10,241
2019-10-11,208
2019-10-12,81
2019-10-13,89
2019-10-14,150
2019-10-15,259
2019-10-16,176
2019-10-17,194
2019-10-18,185
2019-10-19,97
2019-10-20,28
2019-10-21,234
2019-10-22,160
2019-10-23,233
2019-10-24,250
2019-10-25,206
2019-10-26,78
2019-10-27,76
2019-10-28,244
2019-10-29,264
2019-10-30,234
2019-10-31,171
2019-11-01,186
2019-11-02,121
2019-11-03,80
2019-11-04,226
2019-11-05,228
2019-11-06,241
2019-11-07,183
2019-11-08,144
2019-11-09,48
2019-11-10,61
2019-11-11,110
2019-11-12,147
2019-11-13,172
2019-11-14,175
2019-11-15,163
2019-11-16,51
2019-11-17,46
2019-11-18,185
2019-11-19,212
2019-11-20,220
2019-11-21,223
2019-11-22,167
2019-11-23,44
2019-11-24,49
2019-11-25,197
2019-11-26,204
2019-11-27,116
2019-11-28,22
2019-11-29,67
2019-11-30,50
2019-12-01,32
2019-12-02,164
2019-12-03,222
2019-12-04,186
2019-12-05,218
2019-12-06,166
2019-12-07,59
2019-12-08,47
2019-12-09,158
2019-12-10,181
2019-12-11,176
2019-12-12,176
2019-12-13,122
2019-12-14,38
2019-12-15,46
2019-12-16,86
2019-12-17,160
2019-12-18,186
2019-12-19,158
2019-12-20,129
2019-12-21,31
2019-12-22,38
2019-12-23,93
2019-12-24,30
2019-12-25,11
2019-12-26,50
2019-12-27,73
2019-12-28,36
2019-12-29,15
2019-12-30,91
2019-12-31,88
2020-01-01,49
2020-01-02,161
2020-01-03,101
2020-01-04,31
2020-01-05,39
2020-01-06,216
2020-01-07,150
2020-01-08,172
2020-01-09,173
2020-01-10,157
2020-01-11,80
2020-01-12,69
2020-01-13,207
2020-01-14,167
2020-01-15,220
2020-01-16,192
2020-01-17,131
2020-01-18,15
2020-01-19,22
2020-01-20,55
2020-01-21,168
2020-01-22,184
2020-01-23,193
2020-01-24,173
2020-01-25,43
2020-01-26,53
2020-01-27,194
2020-01-28,188
2020-01-29,190
2020-01-30,170
2020-01-31,134
2020-02-01,60
2020-02-02,51
2020-02-03,192
2020-02-04,186
2020-02-05,181
2020-02-06,104
2020-02-07,98
2020-02-08,53
2020-02-09,52
2020-02-10,77
2020-02-11,128
2020-02-12,165
2020-02-13,116
2020-02-14,117
2020-02-15,36
2020-02-16,39
2020-02-17,77
2020-02-18,184
2020-02-19,183
2020-02-20,163
2020-02-21,128
2020-02-22,54
2020-02-23,65
2020-02-24,209
2020-02-25,146
2020-02-26,188
2020-02-27,159
2020-02-28,134
2020-02-29,46
